7fb1,7f5d,80ac
7ea2,800f,7e2d
803a,7f65,7d2a
8019,7f85,81b9
7f39,7e3a,85d9
7f30,7bb7,8349
7f4f,7b0e,7fe5
7ea2,7c4a,7def
7e52,7f45,7839
7f0d,821e,7606
7f4d,81cc,7a60
7ec3,81fe,7ecb
7f87,805b,8074
7ef9,7e89,8557
7f93,7d4e,8493
7f89,7f1f,7e5d
7e3b,7f80,7e1d
7f22,7fdc,7e8b
7d87,7fb7,7d64
7e38,7fcc,80b6
7df1,7de7,85e1
801b,7b79,8410
7faf,7a74,8033
7c5b,7c91,7e96
7ba7,7eb5,795c
7d91,8133,75bc
7f14,82d0,7b1c
7ed4,82f6,7f50
7fce,80b3,807d
7fbb,7e6e,8497
7d4c,7d5f,84b5
7dc4,7e2e,7e30
7ee5,7f2a,7d6f
7e6c,8079,7e1f
7ebc,8040,7d1b
7f8c,7f8a,80e8
7fde,7c80,857b
8196,7b32,83b0
7f72,7afe,8007
7cb7,7cdf,7db4
7da7,7f79,78a4
7eab,81a1,7694
7e8b,81a0,7b54
7f59,8201,7eb7
8089,8052,812b
8033,7e92,846c
7e70,7ddd,837d
7d77,8025,7df0
7ece,8077,7c87
7d96,7fa7,7df4
7e44,7fce,7dba
8090,7fbc,8187
7f5e,7c8a,8643
7e82,7bda,83f2
7e7f,7c1c,80bd
7dc2,7d0b,7efa
7d90,7e7c,7929
7f6e,8145,755c
7df2,81a1,7a79
7eb0,8237,7e8c
814d,8030,8032
80ce,7d9f,84d7
7edc,7de1,8461
7e43,7fa4,7f36
7df3,7fb4,7cdb
7e2f,8047,7df8
7f06,8075,7cb3
7ee5,8034,80ee
7e4d,7d28,868b
80de,7c09,8445
80e9,7bfb,7fed
7d8f,7d65,7dda
7d3c,7fd3,7864
7e62,8106,762d
7c79,80cc,7b6a
7dea,8149,7ee3
804e,7f2a,808f
80c6,7ded,8515
7ee6,7d39,842e
7ddd,7e91,7e9f
7de2,80d4,7d7a
7d2d,810f,7db2
7f3e,8032,7d64
8162,7f4c,81ec
8168,7bc0,8637
8019,7afe,8336
8056,7be9,8013
7ec4,7db7,7e25
7d0f,8053,7895
7f81,8196,764c
7e1e,8123,7b6b
8064,8241,7f04
81f6,800e,806c
7f2f,7d98,8495
7e9a,7e44,83a6
7cef,7f60,7ebd
7e77,80c3,7cad
7d5b,80f7,7dad
7e18,80d6,7e10
7ff8,8099,8147
8027,7c6b,860c
7f57,7bd4,8414
7fb2,7b52,80b8
7d66,7c70,7e3b
7d22,7f67,792a
7e6c,8238,763c
7dee,810f,7b0f
7e53,80b7,7ee4
7e5d,7eb7,8026
7f4e,7e5e,855c
7fe4,7e1e,8429
7f57,7e75,7eaa
7edb,7fd9,7c16
7d80,808d,7e1a
7d86,802c,7d7e
7e89,801e,80dc
7ee1,7d15,8552
7f22,7ac1,84b7
80b1,7b21,80ba
7e4e,7dac,7dff
7eea,7fc2,78c4
7ea8,81a7,7599
7f27,813d,7aa1
806e,8097,7f47
7e70,7f90,8041
7efd,7d09,84b7
7e69,7d94,83fd
7db6,7f83,7e9f
7ee1,806f,7c9e
7def,80bc,7e74
7e74,7ff2,7d87
8086,7fd2,8129
7e88,7d21,8606
7f3c,7af8,841c
7f40,7b1f,8030
7c91,7cf7,7ea8
7e9f,806f,78dc
7ebf,82a0,7534
8038,80f3,7b64
804a,821f,7ed3
7f37,7fd1,80dd
804b,7e95,84bc
7dea,7e06,84ea
7d96,7ef4,7e58
7ead,7fdc,7c9a
7d0b,80fc,7e5a
7d92,7f95,7d25
7ef7,7f8b,80c1
7ee6,7c6c,8603
8070,7a93,83ca
8127,7b16,7f90
7dea,7d47,7ea4
7fab,7f87,78d7
7fb7,81ae,7617
7d63,8178,7a10
8072,8234,7f7a
802c,8070,80ea
8049,7f0d,854b
7f14,7d21,84ec
7e11,7f08,7e08
7c11,8045,7c4a
7c1b,8068,7e86
7dae,8011,7cf2
7f39,7ffe,80e6
7f0c,7d47,8692
7eaa,7bc8,83b8
80ba,7ae2,8086
8029,7d76,7d9d
7fc4,7f30,78b6
7e95,814e,7578
7e7f,8146,79fb
8005,8279,7f20
7ed0,7fd9,815a
7e98,7e8b,8517
7f94,7d1e,8508
7dcf,7de1,7de6
7f4d,7ef0,7ce7
7dd9,80a1,7d64
7d2e,8049,7d74
7fa8,809a,81ab
7e6c,7d11,85cb
7fb2,7a97,8426
803d,7b69,8025
7f17,7d1b,7ddc
7ee3,8057,78a2
7f09,820e,7638
7dfb,8216,7a44
8139,8208,7eb6
7fc1,7f85,814b
7e80,7dfb,8529
7e38,7d8e,849e
7d34,7e20,7f3a
7d26,7fd6,7d69
7e7b,804a,7d09
7e2d,8004,7d36
7f71,8030,8133
7e46,7d51,85bc
7f8d,7b59,8427
808d,7baa,80a1
7dd0,7cfc,7e52
7ddb,7fc9,78b4
7eb3,8250,752c
7e3d,8268,799f
8025,81be,7f49
80bf,7fa9,810f
80a4,7dce,851f
7e2b,7dee,8513
7dc1,7f02,7f0b
7db6,801f,7c8e
7ba7,803b,7d62
7d6e,7fe3,7c73
7ff5,8003,8074
7ec4,7c20,862f
7fb4,7a0d,8541
8054,7b91,808b
7fdd,7ced,7cce
7eff,7ff0,7808
7eae,81fa,758c
7ec1,80d4,7b0c
80bc,8243,7f66
7ea7,80d3,80e5
7eda,7e82,844f
7ed2,7ce1,84a2
7e8b,7e41,7f9d
7ee5,80a0,7d43
7ce7,80d5,7e0b
7d9e,8025,7d49
8100,800d,8075
7eb3,7cb4,85c2
7df6,7b1d,84c1
8157,7b57,8000
7f1e,7cd5,7d95
7e18,7fc1,788e
7df3,8220,75b9
7e0a,8140,7a28
7fe3,82ef,7e66
7f8f,8139,8108
7f8a,7e0f,85e2
7f68,7c75,852d
7e21,7dcb,7f81
7e04,7f96,7d7d
7e2a,8077,7e75
7ec4,8059,7cf5
7f9f,810d,8058
7ea4,7d50,866f
7fc1,7b5b,84fc
7fbb,7b48,80ea
7ebf,7cd1,7dc3
7f0f,7fc7,77ed
7ef5,81ce,7534
7d02,8207,79b6
7e99,8286,7f6e
7f60,7fad,80d6
8025,7da4,855a
7f40,7d61,84ce
7f0b,7e1c,7fbb
7eab,7f05,7c1c
7c7e,7fde,7d2f
7d17,7f99,7cb9
7f86,80b1,80c8
7e5d,7d64,860b
7fcf,7ab0,8488
8157,7b97,8013
8009,7c74,7dfa
8018,7f8a,78d7
7f2d,81b1,7507
7d65,826c,7ae7
7e79,82f5,7f40
7f8e,80ae,8087
7fb1,7e3e,8548
7f15,7dd3,84fc
7d87,7ea1,7eea
7f28,803c,7da6
7e21,8021,7d49
7e4e,8038,7db8
7d2d,8027,80bb
7e56,7cca,85b3
803d,7ba8,8375
7ff1,7bc5,808d
7d6b,7d03,7e3a
7e45,7f71,7913
809f,80c2,7534
7ec7,8189,7a4b
7ea8,825d,7f47
7e4f,80bc,8071
7f64,7e8d,8528
7eca,7c8e,85ab
7d86,7d09,7e97
7f90,7fd4,7c0d
7e83,80f4,7e2c
7da2,80cf,7d8b
80ed,8011,8033
7f4b,7caf,85e5
7f4f,7adf,83d2
8101,7bee,7fff
7e02,7ced,7e20
7f31,8049,79cf
7ebb,81d7,76fd
7c97,8168,7b60
7db3,82e3,7e6f
7ff0,8099,7e64
7fe8,7e18,8328
7f49,7d3a,853b
7d48,7dcc,8140
7d1b,8017,7e93
7d4b,7f2e,7c9e
7d70,7edc,7b2d
80a0,8052,8030
7e68,7d91,8759
7f8e,7bc2,856d
81a3,7c05,7f92
7fab,7cdd,7d9c
7f21,7f0c,7945
7f0b,8226,764e
7f98,8231,7932
7f7d,835d,7d3c
7f7e,8088,81da
7f38,7dd7,871c
8057,7cd6,8412
7df4,7d2b,7ed0
7cc0,7f6d,7e9d
7c02,8018,7e55
7e40,7fb6,7acb
7fa3,8006,80fb
7e7c,7c9e,8699
7e95,7b23,836a
7f87,7ae7,80f3
7c92,7d67,7f64
7db4,7f81,77d3
8063,80ac,7546
801b,8283,7ada
800a,8416,7e7d
7f00,7fec,8136
7e4f,7e15,8522
7eb3,7c75,8489
7d7d,7de4,7f94
7e95,8027,7b8b
7f8a,80a8,7e2d
7f99,7fea,7cfc
7feb,7fa3,7fab
7f18,7c26,8786
7eda,7b0e,831b
7f4f,7b3b,8109
7ed3,7bfb,7ea4
7f19,7eb9,77ec
8010,824f,7665
7ef8,8272,7995
7e83,8278,7f97
7f06,8105,7f26
7ed9,7eba,8577
7e1a,7e68,84f6
7dbe,7edc,7fff
7dfe,80f7,7cbd
7d1e,7fe6,7ee8
7d2b,802c,7d13
80b1,8028,805a
7f9f,7cb7,84b3
7f65,7bb6,84ae
8028,7c0e,7f23
7e70,7c76,7f38
7ec8,7f53,78a4
7f0a,81a2,7643
7d8f,8165,7a49
7e60,82e1,7e29
7f94,8076,802d
7ec6,7e4b,8524
7e6e,7c42,85c0
7b75,7dd3,7efd
7cfe,8005,7d27
7d3d,803b,7d95
7e5f,8041,7c66
8172,800d,80b5
7fa9,7cc8,85bd
806a,7c13,8475
8211,7ba0,80b1
7ea7,7c9d,7e42
7e53,7fc5,7989
7f7b,8194,7592
7e9a,81cc,79aa
7ff5,8217,7ed0
801e,7fc9,80d1
7ff3,7e21,8520
7ec8,7d06,855b
7d7f,7d9d,7f3c
7d1f,8062,7d24
7f4a,8064,7e41
7f8e,7f6f,7d16
809f,8078,8126
7e4d,7d12,85ca
7e0d,7b41,84a1
7fc0,7b81,808a
7f52,7d08,7e26
8068,7f79,78bd
8084,80e6,7527
7d2a,826f,7aaf
7d0c,8301,7e9f
7e9a,80f3,7fb1
7f4b,7f7c,84ff
7fb1,7cdd,84a6
7eee,7dfe,7e84
7f1f,807b,7cb1
7d6e,8044,7d48
7eac,80e1,7dd9
7f5c,8068,803a
7f35,7c7a,861d
8027,7ae9,8434
80c2,7af3,8036
7e28,7cdf,7d8f
7d67,7fe8,78d9
7de6,820c,7601
7cad,827c,7b55
7e41,82ce,7fa1
80ef,7edd,810b
8044,7e0c,84b8
7ed6,7cea,845d
7ce2,7eab,7ef6
7d9f,8007,7d1c
7e3c,7fda,7da6
7d20,8037,7cb9
7f34,804c,807b
7f6a,7bf1,8592
803a,7b63,845b
7e75,7bd2,8063
7dcf,7d2f,7e56
7eb7,807b,7967
7f6a,8184,7590
7d90,81eb,7a55
7e40,823c,7ed0
7fb7,7f60,80ec
8001,7e4b,8537
7ef6,7d8c,856f
7d82,7eb5,804c
7ec1,7f52,7d27
7ea5,7fc5,7da2
7f66,7f9e,7ce2
8014,7fdf,8049
7da7,7c33,853f
8032,7b3f,83fa
819c,7b6e,8046
7d94,7d13,7f20
7f86,8084,78c7
7fc2,82fe,74d4
7e7e,8385,79ca
805c,829e,7e45
8050,7efe,808e
7f5b,7ced,851e
7f0c,7c8e,858d
7eef,7e37,7ff2
7f39,7fd6,7d2b
7cc5,7e73,7de2
7bde,7fc7,7d0e
7fc9,805d,7fa2
7f41,7d80,85be
80f0,7b24,84fb
806e,7b1c,8043
7ca2,7c9c,7e5e
7dec,80a4,7a2d
7e7c,821b,750f
7d3b,8217,79ed
7e92,8299,7e63
7e91,7f0a,8045
7eb8,7de3,85e2
7ea9,7d4e,859d
7def,7e22,7fd7
7f38,8056,7d09
7e71,8014,7dc6
7e6f,8050,7ccf
8125,80f9,7f76
80bf,7d15,8609
807b,7a65,83cf
8122,7b21,805d
7e76,7d1a,7e44
7e15,7ff4,7895
7c44,824f,7575
7d1c,8285,7a6f
7e68,833f,7e4c
7ccd,8043,80e0
7e9d,7da1,856b
7f7f,7bd2,8532
7e9b,7d8d,803d
7d7b,7fd5,7dc5
7d6d,80f3,7d18
8008,8022,7cfb
7f6f,807e,8016
7efd,7d06,84cf
7fb0,7b39,83eb
806e,7ae0,806c
7ead,7c87,7e1e
7da6,8070,7947
7fc4,82a6,7574
7ea2,8208,79bc
8044,8286,7e30
7fa3,7ffe,80d3
8043,7e1f,858f
7fd0,7c3a,8553
7e0c,7cf1,7fe9
7f85,801c,7d69
7e8f,7f48,7dba
7d01,7fdd,7d08
7f86,80e2,8050
7fb2,7ddc,85ea
7eb8,7bf3,842a
7eab,7b83,800c
7d9e,7cda,7e09
7f82,7fd6,78bf
7f21,8169,75b5
7f8d,82c1,79cd
7f83,82c7,7ea5
7f30,8028,812a
7e6a,7e22,85b0
7f9a,7ca7,851f
7ca8,7d96,7f81
7cd7,7fcc,7c97
7bc9,8191,7de1
7d49,80b0,7d20
80db,7fec,8015
80b8,7bb3,85fc
805d,7a93,84e3
7eef,7bf2,806d
7c97,7d89,7e82
7f5b,8023,78a8
7f7f,81e9,756c
7e27,820e,7a37
7fa8,824f,7e51
801f,8072,8156
7f34,7f39,84fd
8015,7cc4,84c2
7e29,7e63,7f6d
7e3c,7ff9,7cf2
7f41,7f3b,7ce6
7e01,8032,7ce4
7f71,8043,801f
7f3a,7b3a,8627
7fed,7b30,84db
80e5,7bc2,7fb0
7dca,7cbf,7ebb
7df9,7f33,79b5
7ee0,81ee,753e
7c70,8328,7a00
7eec,8336,7e78
7ef1,7fa7,80e6
7fc1,7e5b,85cc
7efe,7d1d,8588
7e8e,7e09,7fa7
7e57,7fc4,7c90
7d82,8078,7da2
7ee8,7fc2,7cf6
8064,80ab,8022
7ee7,7cae,8522
7f4b,7b06,83f7
7f75,7b8f,808c
7d47,7d05,7dbb
7f4c,7f1e,790c
7f82,816c,7522
7f63,826b,7a11
7f81,824c,7e6d
8023,7ee9,80da
8096,7e28,85d7
7fe7,7c4f,85db
7ecf,7dda,8055
7e8f,8017,7d0c
7ce1,7f94,7e09
7ce1,7f5e,7d00
7e65,809b,7fdd
7d6d,7c34,84a3
7fea,7acb,8438
80d8,7c70,7ff7
7fbc,7dde,7dfd
7e6f,808c,7953
7dfe,830b,75aa
7d86,8339,794b
7ff4,8244,7f22
7e9d,7f5d,8140
7e73,7e99,855e
7f9f,7d39,853c
7ddc,7e1b,8000
7cd4,7fe4,7d50
7d13,8002,7d6b
7e39,7f99,7c0c
814f,7fde,7ffe
7f92,7c41,85a4
7f87,7b6b,8513
7f55,7bc2,80ae
7d0a,7d3c,7e73
7f95,7f40,7987
7e9b,80ee,74d3
7d5a,82c5,79fd
7f07,833a,7e9e
7f76,7f45,8087
7f35,7e43,8580
8018,7d12,85a5
7eb7,7e6f,8053
7ee5,80cc,7d14
7ea8,8034,7d6b
7e8f,7f91,7bfe
7fae,800a,7f6b
7e01,7c5d,8573
7efa,7b4a,84bd
7fe0,7bca,80a5
7e6a,7d64,7e79
80ab,7f50,79a0
7f4d,8148,7591
7f86,82ea,79fe
80d3,831e,7ebf
7ef5,800f,8032
7f39,7e5d,853a
7f3d,7bcb,85fe
7d86,7d7a,7ffd
7dec,7f95,7d42
7d22,7f6f,7dd0
7c4e,8036,7c29
7e90,8127,8049
7dc4,7cf7,853d
7f08,7bab,8481
8255,7c2c,80ff
8038,7df2,7e7b
7f31,7fe3,7971
7e56,8243,753d
7d7f,8231,79a3
7e31,82d9,7eb3
7f55,8049,80fb
8008,7da1,8537
7f86,7bd5,865e
7b7d,7ce5,804e
7d19,7fda,7cfa
7ddf,7eeb,7d86
7ebf,7ff3,7c56
7fa9,8082,7f86
7e3e,7d44,852d
7fb8,7c1f,84c5
8119,7bfe,7fe9
7f04,7cde,7ddc
7e76,7f63,7941
7ea1,81a8,7514
7e04,82f0,79d1
7ff3,8405,7eb5
808f,80bb,8082
7e54,7e57,8584
7ebc,7c4b,85d7
7db9,7d67,7ffe
7f06,7f91,7cde
7e96,7ff5,7de3
7e9a,7fd1,7ca8
7f8e,802b,7fa3
7e3d,7c64,8486
8063,7b31,8476
8188,7a54,80a8
7e0f,7c9e,7e60
7e00,7f6f,7921
7fe0,8198,7557
7ded,83b0,7976
7e44,8456,7e4d
7fc5,80cd,80d7
8089,7ef4,859c
7f76,7da3,85e6
7de2,7de4,8056
7d1c,7fc5,7db0
7d89,7f23,7da7
7c5e,7f89,7c80
7ef0,806a,7f81
7fd4,7cb9,856b
813a,7ad7,848a
8076,7b15,804a
7e4a,7c97,7e4e
7dee,7fbe,79df
7e9a,81fe,7485
7e00,82fa,79f4
7e49,8264,7e9b
7de9,8025,8137
7fb6,7d96,85cf
8118,7bfc,85f2
7e13,7cde,7fd2
8009,8017,7d4d
7e4b,7f7b,7d91
7e28,80bd,7c5e
7f9f,809e,7f2a
7e3d,7c61,8526
7f36,7c07,84cf
8166,7c5c,80dc
7e69,7ccd,7ec0
7d77,7f7f,78fd
7ef7,81cf,7564
7e69,82b3,79d8
7eda,83ef,7dd4
7e47,811b,80ff
7f44,7e58,85a5
7e8e,7bad,85ca
7d4f,7db7,8008
7e7e,7fd9,7d24
7f02,7f3b,7db0
7e08,7f76,7c80
7fb3,800e,7f88
7e93,7c8c,84e1
8021,7b0d,84a2
7fee,7b87,8016
7dd0,7d16,7e45
7ec0,8007,799b
7eba,81f3,762c
7d77,8259,79af
80b9,829a,7e81
7fc2,7ff7,8035
7f0c,7eb8,8503
7e80,7c79,85c8
7d2c,7deb,809d
7d1b,7fe5,7d87
7d94,807e,7d7a
7fb2,80b6,7cf8
8041,814d,7f68
7fff,7cb7,85af
8036,7b46,849e
8011,7c04,8020
8032,7d3a,7e1f
7f78,7f48,79a1
7f5b,8126,7532
7d50,8391,7960
7f3b,83b8,7e58
7f29,801a,8103
7f36,7d7a,8603
7f00,7c23,85d0
7ddd,7dd3,8032
7f48,8056,7d52
7d9a,7f33,7d60
7c88,7f53,7cae
7de6,806b,7ef1
7eb3,7bc3,8503
8140,7a3c,84eb
81dc,7af3,8184
7e56,7c41,7e2c
7eb5,801b,7918
7e68,827d,7569
7e2d,82be,79bf
7f8b,829e,7dd4
8021,8034,8017
7ff6,7e18,8543
7db6,7d1d,8604
7d69,7dd5,805a
7fc3,7fc6,7e24
7dbc,7f2f,7dec
7dbf,7f73,7c3e
7ef5,7fbc,7f6b
7e9e,7c4a,84ef
8047,7b9c,84cf
80e2,7bb9,80f5
7fd2,7cd2,7e8b
8037,8088,7922
7f5e,824f,742e
7d40,8268,797e
7dbe,8299,7e9c
7f7f,803e,8168
7f48,7dae,85cc
7f66,7c81,8696
7d6c,7e8b,804b
7ddd,8021,7d31
7cc6,805e,7d52
7c3f,80de,7c26
8018,8047,7f80
7ee7,7c62,84fc
7f6b,7ae4,8441
80ac,7bb9,80c3
7e18,7cdf,7eb1
7e45,7f30,7941
7d6c,8185,753d
7e67,82f7,791b
809e,8351,7dc9
7f6f,80ba,809b
7f46,7e8b,85b9
7f16,7cd5,86bd
7f96,7db4,8075
7f03,805a,7d10
7c66,7fc2,7df1
7c37,8000,7c40
7f51,809d,7ebc
7ed7,7cc2,84b4
810e,7a67,849b
82a7,7b15,815b
7ff9,7d7b,7e3a
7db0,80a6,78c7
7d62,8271,750a
7c3a,82a6,7a2a
7eeb,82c9,7ec9
7f6e,7f7d,80cb
7fa6,7e24,85d0
7f41,7c6f,8651
7d0d,7de2,8088
7dde,8019,7d0c
7f80,8124,7d1b
7e11,81c0,7c1b
7ec8,809f,7e9e
7d9e,7bb5,84d1
7fa9,7a17,84ad
8067,7b68,80f8
7dfe,7d02,7ea4
7f97,8061,795d
7e9e,81ff,745b
7c33,8316,79f0
7e4d,8337,7ec1
7f07,8029,80e5
812b,7ce8,862f
81fd,7ba0,863e
7f91,7d13,8151
7f64,7f6b,7d40
7d85,7fe7,7cf6
7cc1,810e,7c3c
7f68,7fdf,7ec2
7ed0,7be4,8475
8057,7a0c,846b
80bf,7b3d,80b2
7f15,7dc7,7eef
7e9c,80b5,7a89
7f18,82d3,7622
7e51,83d6,7970
7ec9,8378,7e3d
7f55,7edd,813d
7f4d,7ca9,8579
7e77,7c2c,8674
7de2,7dbe,7fb6
7cb9,7fff,7d65
7bf4,7fe7,7dd1
7cf1,8051,7c6e
8057,80aa,7f21
7ea0,7bb9,8474
7f40,7a97,8443
819f,7b88,8035
7fa7,7cc7,7e23
7ebb,80ed,7940
7dab,8339,752b
7dca,8364,799a
7fb8,8358,7e74
80e0,7f4a,80c8
811a,7daf,864f
8009,7c46,8629
7dae,7cba,80d6
7f20,7f51,7d3a
7e05,7f22,7dc6
7dc5,7fd4,7c72
7ff7,8061,7eec
7e64,7cbf,8415
7ef9,7afe,84a0
7ee4,7b4a,809b
7e42,7cb6,7e11
7e7c,8034,78da
7f82,82d7,757c
7e1c,8405,79bb
7f66,82de,7f04
7fa3,7f5b,801d
8143,7d87,8560
80c8,7b9a,8692
7d8c,7d00,80aa
7cef,8064,7e01
7c39,8062,7d33
7d36,8064,7c74
7fb8,8184,7ecc
7e7d,7cf0,8497
7fa4,7b53,853d
80a5,7afe,80ce
7ea8,7ce9,7de4
7f88,800c,7a41
7ed5,823a,7541
7cf8,845a,78c5
7e2a,8431,7dcc
7e7f,806e,807e
7fd3,7d12,85b1
80a9,7af2,8672
7ec2,7c46,80a0
7f42,7f67,7e16
7e01,7edb,7d94
7dac,8058,7c4a
7d54,815b,7ee1
7d22,7d29,84e5
8116,7b20,84f1
826b,7bac,8052
7e89,7cd0,7e8f
7d77,7ee7,7a03
7e31,8191,7590
7d51,83dd,78eb
7e49,840c,7eac
7e19,8036,80d4
7fa8,7d9b,8599
8084,7b4d,869a
7df8,7c97,8085
7e60,7fb8,7d20
7e7a,8051,7d6f
7e53,80b8,7c7f
8019,80c7,7f70
7efa,7dcb,84b3
7fbf,7b89,8449
801d,7bfa,7ff1
7fb1,7cf4,7e44
7efa,7fa6,798b
7dd9,8285,7559
7d06,8492,79b2
7e9b,83fe,7d8a
7de4,7fd2,80a8
7edd,7e43,85c3
80f7,7bbe,86cd
8023,7b6d,80cb
7f86,7f72,7d39
7e6c,7f7e,7d8d
7def,8034,7c05
7f23,806e,7f1b
7e52,7c9a,84ef
7e8a,7b0f,8456
7f14,7a38,8094
7cf2,7c8c,7f2e
7e30,7f77,79ae
7f82,8294,74a3
7e02,83b7,7937
7edb,83a2,7f26
7fe0,80a8,8103
8021,7dfa,850c
7fbe,7c8d,8621
7f0d,7c94,8098
7eb7,8135,7d40
7e2f,8079,7d80
7eaf,800a,7c34
7fe9,814a,7e46
7eb3,7c1a,8516
7f2e,7a02,84b5
806a,7a36,80c7
7def,7c7f,7f16
7fc5,7fca,7993
7f6c,8247,753c
7e81,8329,797a
7f7e,839b,7e99
7ebc,800d,7fd5
7db0,7e97,8628
8080,7d17,8699
7e2c,7d3f,811e
7e12,7f6a,7db7
7da4,7fba,7d70
7cb0,8033,7bc4
7e2c,8090,7ed2
7d67,7c6c,8511
7f04,7aaa,844d
81d2,7c52,807f
80af,7d73,7ec9
7f98,7fe3,79fd
7e94,81eb,75bb
7ddf,8382,7933
7fe0,8390,7e6f
7eaf,7f84,7ff8
7eb2,7e1e,8512
7f8c,7c5a,85eb
7cf5,7d37,8031
7e49,806b,7d5e
7de6,7fe5,7da5
7e7a,7f9e,7c5f
7f21,800b,7e88
7f4c,7b74,853b
7f45,79ff,84e7
8072,7b4b,811a
7e7d,7c5f,7eb5
7e37,7f8c,79fa
7f5c,8362,751e
7d90,84c1,78e1
7e08,8362,7ec9
7f89,8049,8103
8003,7d85,862d
7f51,7c18,86e1
7dd7,7cfa,81cf
7dd1,7f5f,7d0e
7d73,803c,7d45
7d4a,8095,7b51
800b,811c,7dcc
7f8b,7bf9,844b
7fcc,79e6,84c9
8150,7a85,80b1
7f44,7c43,7ec9
7f85,7f4d,7a53
7e6d,8204,75a1
7e4c,8306,79a9
7f8b,83aa,7dbe
7e8b,80a7,8061
7dc1,7f48,8578
7f6a,7d58,8659
7fb3,7cc0,80b3
7f45,7fa8,7cda
7e15,7f0b,7d2a
7db5,805b,7ca5
7fe7,806a,7f08
7e89,7d1f,8457
7f64,7bc0,84dd
80fb,7c12,80aa
7f79,7c95,7fa1
7ec6,7ebe,79f3
7d84,817f,75b4
7c8c,8405,7849
7e9f,83d2,7e35
7f7a,8036,809c
7fe6,7ef9,859a
7f72,7d73,876f
7e4d,7c95,8201
7ef5,7ef1,7cfc
7e0c,7ffb,7d8e
7e86,80ba,7bb6
7fe8,8087,7e45
7f4a,7cdf,844a
